ID,Marital Status,Gender,Income,Children,Education,Occupation,Home Owner,Cars,Commute Distance,Region,Age,Purchased Bike,score_venta
28380.0,Single,Female,10000.0,5.0,Partial High School,Manual,No,2.0,0-1 Miles,Europe,41.0,No,0.03486768969334759
17891.0,Married,Female,10000.0,2.0,Partial College,Manual,Yes,1.0,0-1 Miles,Europe,50.0,Yes,0.9949123376623377
27832.0,Single,Female,30000.0,0.0,Partial College,Clerical,No,1.0,2-5 Miles,Europe,30.0,No,0.0016250000000000001
26863.0,Single,Male,20000.0,0.0,High School,Manual,No,1.0,2-5 Miles,Europe,28.0,No,0.004637362637362637
16259.0,Single,Female,10000.0,4.0,Partial High School,Manual,Yes,2.0,0-1 Miles,Europe,40.0,Yes,0.6516435639523873
27803.0,Single,Female,30000.0,2.0,Partial College,Clerical,No,0.0,0-1 Miles,Europe,43.0,No,0.0036822344322344326
14347.0,Single,Female,40000.0,2.0,Bachelors,Management,Yes,2.0,5-10 Miles,Pacific,65.0,Yes,0.955914698047051
17703.0,Married,Female,10000.0,1.0,Graduate Degree,Manual,Yes,0.0,0-1 Miles,Europe,40.0,No,0.017799714174714175
17185.0,Married,Female,130000.0,4.0,Partial College,Professional,No,3.0,5-10 Miles,Europe,48.0,Yes,0.9728864468864468
29380.0,Married,Female,20000.0,3.0,High School,Manual,Yes,0.0,0-1 Miles,Europe,41.0,Yes,0.9961788766788766
23986.0,Married,Female,20000.0,1.0,Bachelors,Clerical,Yes,0.0,0-1 Miles,Europe,66.0,Yes,0.6675506009447993
24466.0,Married,Female,60000.0,1.0,Partial College,Skilled Manual,Yes,1.0,5-10 Miles,Pacific,46.0,Yes,0.9814721944721946
29097.0,Single,Female,40000.0,2.0,Partial College,Skilled Manual,Yes,2.0,5-10 Miles,Pacific,52.0,Yes,0.9951527777777777
19487.0,Married,Male,30000.0,2.0,Partial College,Clerical,No,2.0,0-1 Miles,Europe,42.0,No,0.0
14939.0,Married,Male,40000.0,0.0,Bachelors,Clerical,Yes,0.0,0-1 Miles,Europe,39.0,Yes,0.47854798918401853
13826.0,Single,Female,30000.0,0.0,Partial College,Clerical,No,1.0,0-1 Miles,Europe,28.0,No,0.0
20619.0,Single,Male,80000.0,0.0,Bachelors,Professional,No,4.0,10+ Miles,Pacific,35.0,No,0.02185109330813665
12558.0,Married,Female,20000.0,1.0,Bachelors,Clerical,Yes,0.0,0-1 Miles,Europe,65.0,No,0.02886678599178599
24871.0,Single,Female,90000.0,4.0,High School,Management,No,3.0,5-10 Miles,Europe,56.0,No,0.009538766788766789
17319.0,Single,Female,70000.0,0.0,Bachelors,Professional,No,1.0,5-10 Miles,Pacific,42.0,No,0.5444345433548216
28906.0,Married,Male,80000.0,4.0,High School,Professional,Yes,2.0,10+ Miles,Europe,54.0,No,0.5926590590072045
12808.0,Married,Male,40000.0,0.0,Bachelors,Clerical,Yes,0.0,0-1 Miles,Europe,38.0,Yes,0.9993212669683258
20567.0,Married,Male,130000.0,4.0,Partial College,Professional,No,4.0,5-10 Miles,Europe,61.0,Yes,0.9662646198830407
25502.0,Married,Female,40000.0,1.0,Bachelors,Skilled Manual,Yes,0.0,0-1 Miles,Europe,43.0,Yes,0.9995
15580.0,Married,Male,60000.0,2.0,Bachelors,Professional,Yes,1.0,2-5 Miles,Pacific,38.0,Yes,0.5790786223580336
24185.0,Single,Female,10000.0,1.0,High School,Manual,No,1.0,1-2 Miles,Europe,45.0,No,0.4973199813172723
19291.0,Single,Female,10000.0,2.0,High School,Manual,Yes,0.0,0-1 Miles,Europe,35.0,No,0.030893606393606398
16713.0,Married,Male,40000.0,2.0,Bachelors,Management,Yes,1.0,0-1 Miles,Pacific,52.0,Yes,0.9915075757575758
16185.0,Single,Male,60000.0,4.0,Bachelors,Professional,Yes,3.0,10+ Miles,Pacific,41.0,No,0.20577624336447872
14927.0,Married,Female,30000.0,1.0,Bachelors,Clerical,Yes,0.0,0-1 Miles,Europe,37.0,Yes,0.9997058823529411
29337.0,Single,Male,30000.0,2.0,Partial College,Clerical,Yes,2.0,5-10 Miles,Pacific,68.0,No,0.08453849957661876
29355.0,Married,Female,40000.0,0.0,Graduate Degree,Clerical,Yes,0.0,0-1 Miles,Europe,37.0,Yes,0.9996153846153847
25303.0,Single,Male,30000.0,0.0,High School,Manual,Yes,1.0,2-5 Miles,Europe,33.0,Yes,0.8092535442498674
14813.0,Single,Female,20000.0,4.0,High School,Manual,Yes,1.0,0-1 Miles,Europe,43.0,Yes,0.9733580031080031
16438.0,Married,Female,10000.0,0.0,Partial High School,Manual,No,2.0,0-1 Miles,Europe,30.0,No,0.014474240005780252
14238.0,Married,Male,120000.0,0.0,Partial High School,Professional,Yes,4.0,10+ Miles,Pacific,36.0,Yes,0.9778805295581613
16200.0,Single,Female,10000.0,0.0,Partial High School,Manual,No,2.0,0-1 Miles,Europe,35.0,No,0.02010698226352251
24857.0,Married,Female,130000.0,3.0,High School,Professional,Yes,4.0,0-1 Miles,Europe,52.0,No,0.6565251394846979
26956.0,Single,Female,20000.0,0.0,Partial College,Manual,No,1.0,2-5 Miles,Europe,36.0,Yes,0.9924111721611721
14517.0,Married,Female,20000.0,3.0,High School,Skilled Manual,No,2.0,1-2 Miles,Pacific,62.0,No,0.011845238095238096
12678.0,Single,Female,130000.0,4.0,High School,Management,Yes,4.0,0-1 Miles,Pacific,31.0,No,0.023102258852258854
16188.0,Single,Female,20000.0,0.0,Partial High School,Manual,No,2.0,1-2 Miles,Europe,26.0,No,0.19169673933980202
27969.0,Married,Male,80000.0,0.0,Bachelors,Professional,Yes,2.0,10+ Miles,Pacific,29.0,Yes,0.5754941187768199
15752.0,Married,Male,80000.0,2.0,High School,Skilled Manual,No,2.0,1-2 Miles,Pacific,50.0,Yes,0.9969940476190478
27745.0,Single,Male,40000.0,2.0,Bachelors,Management,Yes,2.0,5-10 Miles,Pacific,63.0,Yes,0.9684888599962127
20828.0,Married,Female,30000.0,4.0,Graduate Degree,Clerical,Yes,0.0,0-1 Miles,Europe,45.0,Yes,0.16432498506395565
19461.0,Single,Female,10000.0,4.0,Partial High School,Manual,Yes,2.0,0-1 Miles,Europe,40.0,No,0.6516435639523873
26941.0,Married,Male,30000.0,0.0,Bachelors,Clerical,Yes,0.0,0-1 Miles,Europe,47.0,Yes,0.43863627589730536
28412.0,Single,Male,20000.0,0.0,High School,Manual,No,1.0,2-5 Miles,Europe,29.0,No,0.004637362637362637
24485.0,Single,Male,40000.0,2.0,Bachelors,Management,No,1.0,5-10 Miles,Pacific,52.0,Yes,0.980871120709356
16514.0,Single,Male,10000.0,0.0,Partial College,Manual,Yes,1.0,1-2 Miles,Pacific,26.0,Yes,0.9684241522366522
17191.0,Single,Male,130000.0,3.0,Partial College,Professional,No,3.0,0-1 Miles,Europe,51.0,Yes,0.891209697981757
19608.0,Married,Male,80000.0,5.0,Bachelors,Professional,Yes,4.0,1-2 Miles,Pacific,40.0,No,0.010193160597572361
24119.0,Single,Male,30000.0,0.0,Partial College,Clerical,No,1.0,2-5 Miles,Europe,29.0,No,0.0016250000000000001
25458.0,Married,Male,20000.0,1.0,High School,Manual,No,1.0,1-2 Miles,Europe,40.0,Yes,0.9943594322344323
26886.0,Single,Female,30000.0,0.0,Partial College,Clerical,No,1.0,0-1 Miles,Europe,29.0,Yes,0.9933123543123543
28436.0,Single,Male,30000.0,0.0,Partial College,Clerical,No,1.0,0-1 Miles,Europe,30.0,Yes,0.9933123543123543
19562.0,Single,Female,60000.0,2.0,Bachelors,Professional,Yes,1.0,2-5 Miles,Pacific,37.0,Yes,0.9930079365079366
15608.0,Single,Female,30000.0,0.0,Partial College,Clerical,No,1.0,2-5 Miles,Europe,33.0,No,0.020341991341991342
16487.0,Single,Female,30000.0,3.0,High School,Skilled Manual,Yes,2.0,5-10 Miles,Pacific,55.0,No,0.023998718386876283
17197.0,Single,Female,90000.0,5.0,Partial College,Professional,Yes,2.0,10+ Miles,Europe,62.0,No,0.03264245476745476
12507.0,Married,Male,30000.0,1.0,Partial College,Clerical,Yes,1.0,0-1 Miles,Europe,43.0,No,0.1758427073423877
23940.0,Married,Male,40000.0,1.0,Bachelors,Skilled Manual,Yes,1.0,0-1 Miles,Europe,44.0,Yes,0.9996666666666667
19441.0,Married,Male,40000.0,0.0,Graduate Degree,Clerical,Yes,0.0,0-1 Miles,Europe,43.0,Yes,0.9963325563325565
26852.0,Married,Female,20000.0,3.0,High School,Manual,Yes,2.0,0-1 Miles,Europe,43.0,No,0.01163345864661654
12274.0,Single,Male,10000.0,2.0,High School,Manual,Yes,0.0,0-1 Miles,Europe,35.0,No,0.025101939726939727
20236.0,Single,Male,60000.0,3.0,Bachelors,Professional,No,2.0,0-1 Miles,Pacific,43.0,Yes,0.9971944444444445
24149.0,Married,Male,10000.0,2.0,Partial College,Manual,Yes,0.0,1-2 Miles,Europe,49.0,No,0.008392857142857141
26139.0,Single,Male,60000.0,1.0,Partial College,Skilled Manual,Yes,1.0,5-10 Miles,Pacific,45.0,No,0.04788507326007326
18491.0,Single,Female,70000.0,2.0,High School,Professional,Yes,2.0,5-10 Miles,Pacific,49.0,Yes,0.9963473389355741
22707.0,Single,Female,30000.0,0.0,Partial College,Clerical,No,1.0,2-5 Miles,Europe,30.0,No,0.0016250000000000001
20430.0,Married,Male,70000.0,2.0,Partial College,Skilled Manual,Yes,2.0,5-10 Miles,Pacific,52.0,Yes,0.9960492424242424
27494.0,Single,Female,40000.0,2.0,Partial College,Skilled Manual,No,2.0,1-2 Miles,Pacific,53.0,Yes,0.26979343736329037
26829.0,Married,Female,40000.0,0.0,Bachelors,Clerical,Yes,0.0,0-1 Miles,Europe,38.0,Yes,0.9993212669683258
28395.0,Single,Male,40000.0,0.0,Bachelors,Professional,No,0.0,0-1 Miles,Europe,39.0,Yes,0.99775
21006.0,Single,Female,60000.0,1.0,Partial College,Manual,No,0.0,0-1 Miles,Europe,46.0,Yes,0.9813223443223441
14682.0,Single,Female,70000.0,0.0,Bachelors,Professional,No,1.0,5-10 Miles,Pacific,38.0,No,0.031512361005008066
17650.0,Single,Female,40000.0,2.0,Partial College,Clerical,Yes,2.0,1-2 Miles,Europe,35.0,No,0.01120879120879121
29191.0,Single,Female,130000.0,1.0,Graduate Degree,Management,No,1.0,0-1 Miles,Pacific,36.0,Yes,0.9787655122655123
15030.0,Married,Male,20000.0,0.0,Bachelors,Clerical,Yes,0.0,0-1 Miles,Pacific,26.0,Yes,0.9803762765012766
24140.0,Single,Male,10000.0,0.0,Graduate Degree,Manual,No,0.0,0-1 Miles,Europe,30.0,Yes,0.898596255052137
22496.0,Married,Female,30000.0,1.0,Bachelors,Skilled Manual,Yes,2.0,0-1 Miles,Europe,42.0,No,0.007030303030303031
24065.0,Single,Female,20000.0,2.0,High School,Manual,Yes,0.0,0-1 Miles,Europe,40.0,Yes,0.9958931623931623
19914.0,Married,Male,80000.0,5.0,Bachelors,Management,Yes,2.0,2-5 Miles,Europe,62.0,No,0.01174025974025974
12871.0,Single,Female,30000.0,0.0,Partial College,Clerical,No,1.0,2-5 Miles,Europe,29.0,No,0.0016250000000000001
22988.0,Married,Female,40000.0,2.0,Bachelors,Management,Yes,2.0,5-10 Miles,Pacific,66.0,Yes,0.6744369479205006
15922.0,Married,Male,130000.0,2.0,High School,Professional,Yes,4.0,0-1 Miles,Europe,48.0,No,0.01850732600732601
12344.0,Single,Female,80000.0,0.0,Bachelors,Professional,No,3.0,10+ Miles,Pacific,31.0,No,0.017378066378066378
23627.0,Single,Female,100000.0,3.0,Partial College,Management,No,4.0,5-10 Miles,Europe,56.0,No,0.012736818736818738
27775.0,Single,Female,40000.0,0.0,Bachelors,Clerical,No,0.0,0-1 Miles,Europe,38.0,Yes,0.9991666666666668
29301.0,Married,Male,80000.0,5.0,Bachelors,Professional,Yes,4.0,1-2 Miles,Pacific,40.0,No,0.010193160597572361
12716.0,Single,Male,30000.0,0.0,Partial College,Clerical,Yes,1.0,2-5 Miles,Europe,32.0,No,0.01079532967032967
12472.0,Married,Male,30000.0,1.0,Bachelors,Clerical,Yes,1.0,2-5 Miles,Europe,39.0,No,0.01683802308802309
20970.0,Single,Male,10000.0,2.0,Partial College,Manual,Yes,1.0,0-1 Miles,Europe,52.0,Yes,0.9929936868686869
26818.0,Single,Male,10000.0,3.0,High School,Manual,Yes,1.0,0-1 Miles,Europe,39.0,Yes,0.994029526029526
12993.0,Married,Male,60000.0,2.0,Bachelors,Professional,Yes,1.0,2-5 Miles,Pacific,37.0,No,0.19259498997734298
14192.0,Married,Male,90000.0,4.0,High School,Management,Yes,3.0,5-10 Miles,Europe,56.0,Yes,0.9353132101816309
19477.0,Married,Male,40000.0,0.0,Bachelors,Professional,Yes,0.0,0-1 Miles,Europe,40.0,Yes,0.9927820512820514
26796.0,Single,Male,40000.0,2.0,Bachelors,Management,Yes,2.0,5-10 Miles,Pacific,65.0,Yes,0.9649958946282474
21094.0,Single,Female,30000.0,2.0,Partial College,Clerical,Yes,2.0,0-1 Miles,Europe,42.0,No,0.0019230769230769232
12234.0,Married,Male,10000.0,2.0,Partial College,Manual,Yes,1.0,2-5 Miles,Europe,52.0,No,0.01447069597069597
28683.0,Single,Female,10000.0,1.0,High School,Manual,No,1.0,5-10 Miles,Europe,35.0,Yes,0.4659072535221916
17994.0,Single,Male,20000.0,2.0,High School,Manual,Yes,2.0,0-1 Miles,Europe,42.0,No,0.00780195681511471
24273.0,Married,Female,20000.0,2.0,Partial High School,Clerical,Yes,2.0,5-10 Miles,Pacific,55.0,Yes,0.6784895894373868
26547.0,Single,Female,30000.0,2.0,Partial College,Clerical,No,2.0,5-10 Miles,Pacific,60.0,Yes,0.9522089299589298
22500.0,Single,Male,40000.0,0.0,Bachelors,Professional,No,0.0,0-1 Miles,Europe,40.0,Yes,0.99775
23993.0,Single,Female,10000.0,0.0,Partial College,Manual,No,1.0,0-1 Miles,Pacific,26.0,Yes,0.9723527236652236
14832.0,Married,Male,40000.0,1.0,Bachelors,Skilled Manual,Yes,0.0,0-1 Miles,Europe,42.0,Yes,1.0
16614.0,Married,Female,80000.0,0.0,Bachelors,Professional,Yes,3.0,10+ Miles,Pacific,32.0,No,0.01458212620712621
20877.0,Single,Male,30000.0,1.0,Bachelors,Clerical,Yes,0.0,1-2 Miles,Europe,37.0,Yes,0.9969711538461539
20729.0,Married,Female,40000.0,2.0,Partial College,Clerical,No,1.0,0-1 Miles,Europe,34.0,No,0.009531926406926407
22464.0,Married,Male,40000.0,0.0,Graduate Degree,Clerical,Yes,0.0,0-1 Miles,Europe,37.0,Yes,0.9996153846153847
19475.0,Married,Female,40000.0,0.0,Bachelors,Professional,No,0.0,0-1 Miles,Europe,40.0,Yes,0.9973653846153847
19675.0,Married,Male,20000.0,4.0,High School,Skilled Manual,Yes,2.0,5-10 Miles,Pacific,60.0,No,0.006714285714285713
12728.0,Single,Male,30000.0,0.0,Partial College,Clerical,No,1.0,1-2 Miles,Europe,27.0,No,0.008335664335664336
26154.0,Married,Male,60000.0,1.0,Partial College,Skilled Manual,Yes,1.0,5-10 Miles,Pacific,43.0,Yes,0.9844781468531469
29117.0,Single,Male,100000.0,1.0,Bachelors,Management,No,3.0,0-1 Miles,Pacific,48.0,No,0.05429817608861726
17845.0,Single,Female,20000.0,0.0,Partial High School,Manual,No,2.0,1-2 Miles,Europe,32.0,No,0.055743526275066506
25058.0,Married,Male,100000.0,1.0,Bachelors,Management,Yes,3.0,2-5 Miles,Pacific,47.0,No,0.013216269841269841
23426.0,Single,Male,80000.0,5.0,Graduate Degree,Management,Yes,3.0,0-1 Miles,Pacific,40.0,No,0.01375613275613276
14798.0,Single,Female,10000.0,4.0,Partial High School,Manual,Yes,2.0,0-1 Miles,Europe,41.0,Yes,0.9337342171717169
12664.0,Married,Female,130000.0,5.0,Partial College,Professional,Yes,4.0,0-1 Miles,Europe,59.0,No,0.022744047619047622
23979.0,Single,Male,10000.0,2.0,Partial College,Manual,No,0.0,0-1 Miles,Europe,50.0,No,0.00930952380952381
25605.0,Single,Female,20000.0,2.0,Partial College,Manual,No,1.0,0-1 Miles,Europe,54.0,Yes,0.9913459595959595
20797.0,Married,Female,10000.0,1.0,Bachelors,Manual,Yes,0.0,0-1 Miles,Europe,48.0,No,0.003761904761904762
21980.0,Single,Female,60000.0,1.0,Bachelors,Professional,Yes,1.0,5-10 Miles,Pacific,44.0,Yes,0.9887789489921843
25460.0,Married,Female,20000.0,2.0,High School,Manual,Yes,0.0,0-1 Miles,Europe,40.0,Yes,0.9958931623931623
29181.0,Single,Female,60000.0,2.0,Bachelors,Professional,No,1.0,0-1 Miles,Pacific,38.0,Yes,0.9990873015873015
24279.0,Single,Male,40000.0,2.0,Partial College,Skilled Manual,No,2.0,1-2 Miles,Pacific,52.0,No,0.0216969696969697
22402.0,Married,Male,10000.0,0.0,Partial College,Manual,Yes,1.0,2-5 Miles,Pacific,25.0,Yes,0.9462123085248086
15465.0,Married,Female,10000.0,0.0,Partial College,Manual,No,1.0,0-1 Miles,Pacific,25.0,No,0.7059460625159155
26757.0,Single,Male,90000.0,1.0,Bachelors,Professional,Yes,1.0,2-5 Miles,Pacific,47.0,Yes,0.9902792207792208
14233.0,Single,Male,100000.0,0.0,High School,Management,Yes,3.0,10+ Miles,Pacific,35.0,No,0.22319884632481382
14058.0,Single,Male,70000.0,0.0,Bachelors,Professional,No,1.0,5-10 Miles,Pacific,41.0,Yes,0.3118392097668414
12273.0,Married,Male,30000.0,1.0,Bachelors,Clerical,Yes,0.0,0-1 Miles,Europe,47.0,No,0.004166666666666667
17203.0,Married,Female,130000.0,4.0,Partial College,Professional,Yes,4.0,5-10 Miles,Europe,61.0,Yes,0.9482638567572775
18144.0,Married,Female,80000.0,5.0,Bachelors,Management,Yes,2.0,2-5 Miles,Europe,61.0,No,0.009109765234765234
23963.0,Married,Male,10000.0,0.0,Partial High School,Manual,No,2.0,0-1 Miles,Europe,33.0,No,0.015550177956718203
17907.0,Married,Female,10000.0,0.0,Partial College,Manual,Yes,1.0,2-5 Miles,Pacific,27.0,No,0.15828008143816963
19442.0,Single,Male,50000.0,0.0,Graduate Degree,Skilled Manual,Yes,0.0,0-1 Miles,Europe,37.0,Yes,0.9938174603174602
17504.0,Single,Female,80000.0,2.0,Partial College,Skilled Manual,Yes,2.0,5-10 Miles,Pacific,52.0,Yes,0.9968825757575758
12253.0,Single,Female,20000.0,0.0,Partial College,Manual,Yes,0.0,0-1 Miles,Pacific,29.0,Yes,0.981887987012987
27304.0,Single,Female,110000.0,2.0,Partial College,Professional,No,3.0,5-10 Miles,Europe,48.0,No,0.02192007992007992
14191.0,Married,Male,130000.0,4.0,Partial College,Professional,No,2.0,10+ Miles,Europe,55.0,Yes,0.9428499373433581
12212.0,Married,Female,10000.0,0.0,Graduate Degree,Manual,Yes,0.0,0-1 Miles,Europe,37.0,Yes,0.9853808968808968
25529.0,Single,Male,10000.0,1.0,Graduate Degree,Manual,Yes,0.0,0-1 Miles,Europe,44.0,No,0.012587301587301586
22170.0,Married,Female,30000.0,3.0,Partial College,Clerical,No,2.0,1-2 Miles,Pacific,55.0,Yes,0.9326246991312782
19445.0,Married,Female,10000.0,2.0,High School,Manual,No,1.0,0-1 Miles,Europe,38.0,No,0.01777380952380952
15265.0,Single,Male,40000.0,2.0,Bachelors,Management,Yes,2.0,5-10 Miles,Pacific,66.0,Yes,0.9589462914536443
28918.0,Married,Female,130000.0,4.0,High School,Management,No,4.0,10+ Miles,Europe,58.0,No,0.32377696913939175
15799.0,Married,Female,90000.0,1.0,Bachelors,Professional,Yes,1.0,2-5 Miles,Pacific,47.0,Yes,0.9952142857142857
11047.0,Married,Female,30000.0,3.0,High School,Skilled Manual,No,2.0,1-2 Miles,Pacific,56.0,Yes,0.89553290934212
18151.0,Single,Male,80000.0,5.0,Partial College,Professional,No,2.0,10+ Miles,Europe,59.0,No,0.0327979797979798
20606.0,Married,Female,70000.0,0.0,Bachelors,Professional,Yes,4.0,10+ Miles,Pacific,32.0,Yes,0.9734555517581834
19482.0,Married,Male,30000.0,1.0,Partial College,Clerical,Yes,1.0,0-1 Miles,Europe,44.0,Yes,1.0
16489.0,Married,Male,30000.0,3.0,High School,Skilled Manual,Yes,2.0,5-10 Miles,Pacific,55.0,No,0.012502201015358911
26944.0,Single,Male,60000.0,2.0,High School,Manual,Yes,0.0,0-1 Miles,Europe,36.0,Yes,0.991053946053946
15682.0,Single,Female,80000.0,5.0,Bachelors,Management,Yes,2.0,10+ Miles,Europe,62.0,No,0.02370566933066933
26032.0,Married,Female,70000.0,5.0,Bachelors,Professional,Yes,4.0,10+ Miles,Pacific,41.0,No,0.010360133287764866
17843.0,Single,Female,10000.0,0.0,Partial High School,Manual,No,2.0,0-1 Miles,Europe,32.0,No,0.04613806229460253
25559.0,Single,Male,20000.0,0.0,Bachelors,Clerical,Yes,0.0,0-1 Miles,Pacific,25.0,Yes,0.9765072288822289
16209.0,Single,Female,50000.0,0.0,Graduate Degree,Skilled Manual,Yes,1.0,1-2 Miles,Europe,36.0,No,0.4922683880661817
11147.0,Married,Male,60000.0,2.0,Graduate Degree,Management,Yes,1.0,0-1 Miles,Pacific,67.0,Yes,0.9328120311061484
15214.0,Single,Female,100000.0,0.0,Graduate Degree,Management,No,1.0,1-2 Miles,Pacific,39.0,Yes,0.980298520923521
11453.0,Single,Male,80000.0,0.0,Bachelors,Professional,No,3.0,10+ Miles,Pacific,33.0,Yes,0.5082738025433456
24584.0,Single,Male,60000.0,0.0,Bachelors,Professional,No,3.0,2-5 Miles,Pacific,31.0,No,0.012828622358034123
12585.0,Married,Male,10000.0,1.0,High School,Manual,Yes,0.0,2-5 Miles,Pacific,27.0,Yes,0.9666920301920302
18626.0,Single,Male,40000.0,2.0,Partial College,Clerical,Yes,1.0,1-2 Miles,Europe,33.0,Yes,0.9934325396825398
29298.0,Single,Female,60000.0,1.0,Partial College,Skilled Manual,Yes,1.0,5-10 Miles,Pacific,46.0,Yes,0.9815555278055278
24842.0,Single,Female,90000.0,3.0,High School,Professional,No,1.0,2-5 Miles,Europe,51.0,No,0.5390829687168697
15657.0,Married,Male,30000.0,3.0,Graduate Degree,Clerical,Yes,0.0,0-1 Miles,Europe,46.0,Yes,0.9909671717171717
11415.0,Single,Male,90000.0,5.0,Partial College,Professional,No,2.0,10+ Miles,Europe,62.0,No,0.050486777111777126
28729.0,Single,Female,20000.0,0.0,Partial High School,Manual,Yes,2.0,1-2 Miles,Europe,26.0,Yes,0.9534830031080029
22633.0,Single,Female,40000.0,0.0,Graduate Degree,Clerical,Yes,0.0,0-1 Miles,Europe,37.0,Yes,0.9988888888888888
25649.0,Single,Female,30000.0,3.0,Partial College,Clerical,Yes,0.0,0-1 Miles,Europe,42.0,Yes,0.4637456020286904
14669.0,Married,Female,80000.0,4.0,Graduate Degree,Management,Yes,1.0,0-1 Miles,Pacific,36.0,No,0.6665429709179709
19299.0,Married,Female,50000.0,0.0,Graduate Degree,Skilled Manual,Yes,0.0,0-1 Miles,Europe,36.0,Yes,0.7585340158207805
